TXID,fee,output,removed,size,time
88a083e9835704c676444d70c7e2db2c2f4c983ca40f162fdd88aff9a8790608,108785.0,21752554,1510262776.97,374,1510261775
049c0d5f535068c14ab68ddbcd6dbd7592515b27097fe5943d5e843f038dacfc,72906.0,789016,1510263058.57,226,1510262944
9c9ef4c741e9f90e90e3d114541045e15a879713d23294916c9ce4fe86c844d0,40454.0,927734,1510267833.89,225,1510263633
69edd1782eea46a9f73dbb13aa97b86d430dc2425968ce9dff4de7b0ddb42328,72913.0,74534304,1510267249.64,226,1510266776
0dcaa6bf9a51db3d8219017c4032c94b90d88539e0c755c145f4f4787c0fc631,61020.0,24307090,1510267249.64,226,1510267094
1ebc604bb426a05de32494ba55f4ca46e9b7ec32a5f904b8077a3c2c632a6250,146454.0,49729698,1510263058.57,633,1510262964
dd031400b2169b0aa9b6314c78272c3f3c3b2949a36b19776da76eb82e894ee9,30284.0,4118792,1510269627.33,225,1510267228
c2443fbda1a87666fdd00cf1985b85370570fe0672b7f9fd9eb3b80844eb3c95,65736.0,1167941,1510262776.97,225,1510262471
50f22c8e15ec55c9a8260d4116ae81154e3b72f255adbaa32914ffbfa61f800f,72906.0,653638,1510264642.6,224,1510263291
bb576bd522af8c9e1583780be9f01e34ebc77cf4ee06cbbbfd047ba2cc577b61,123400.0,1455292,1510263058.57,519,1510262722
83a3b162a754b940eb7cbec9599227a707015ecd5e4f7abf555031ca9de012d0,72906.0,175501615,1510262776.97,226,1510262388
302e2bf86e7104726eac57642fe9ad61e078e8ae2805785adfccbc54137eb0e2,97609.0,6298411,1510264653.31,373,1510263822
d6a5410315ddcbf684759653c750c826670235e4b89b70e0f466132f2e982b57,48124.0,3215196,1510265586.75,225,1510264342
7fd8576dfce4faa181ffce641f0ce976c0a048b6fac0d55e5d185b0c6bf15005,12300.0,0,1510275909.29,189,1510267085
96fd2d30e540efa4c4af075a53349cf87b5ff11348ef8ccf6a57ea019ee5c94a,80000.0,1700343,1510265399.55,191,1510264650
09119fa351933d0760943979dacd8d606c359458b28b76d72d203c8144b1a820,44400.0,10159600,1510265883.38,225,1510264540
12c7d6f10894eeaf494d089c22076b619ff66c35f0db2fbf925662d27d59b268,241569.0,910108,1510265399.55,634,1510265245
4cec335eb2df07d3c18ecbc6a0b6fb34318d214af5b565033e976131f242d21c,42036.0,0,1510266190.01,226,1510265821
0dd5e49b5f4fca1318d01d78fa8ce0ba75046a27d9aa804fc9be22cfd5057bf8,65540.0,11740398,1510267729.73,374,1510267151
5e6b2ddac9b23379e68fc74c0e750a46f97b5405701d0c432873e13a8aaebbb6,146160.0,2104412,1510262776.97,522,1510262442
82952d271fadea0d0be3292479b4b645c6b71e3ccfa61cb3a3849b20f59bdb4b,70633.0,593027,1510262776.97,226,1510261841
1500609567bcb4923cabe8f34794c98f4608fc99eaccd33be9db87a425c878a3,60928.0,17987060,1510266490.02,224,1510266313
f9ef2aa47e1a645ea10bbd7b62717927228c5a694fc7837c6415cedb95cda316,42262.0,837659,1510266190.01,226,1510264561
64ae72e7438a93031e4a8c954bfd8871e47349425cdce685e77ee187aafe0f6f,20820.0,1576330,1510309098.9,372,1510263163
a746545f48ebe79495e80767b1d144a0e67ffd57a8224e6467f34fd86e942c3c,51512.0,268718221,1510265399.55,216,1510264721
a8f0d23011ed8dd9207c59e2a7edc6f2bf0290949e687919befae5960d476624,45200.0,734300,1510267249.64,192,1510266962
8b59dc7116a9b80e0ccdf904686992ffdf4386fad58431f7fe6a3fe3947eaeda,40228.0,9140777,1510266190.01,226,1510263613
636248a8c461a5286888ef552d9ac5d6085e273325fd9f6b5b26a6af20fb90db,120000.0,0,1510265586.75,191,1510265489
319ef2e948df89b38e1008f6773b9276643523cbfdef81a6e825c4933eec2001,20820.0,73156356,1510286455.44,370,1510262502
739f0f78fa8d4f73348ea0f4e6621cb25697c889a32831234969a207edbc6439,94952.0,91411617,1510263058.57,390,1510261812
61eb9162f01833137aedb138f73ae5f9af525939ccf411c2629d467a4f88088f,54705.0,29239197,1510263058.57,225,1510262700
748507328f86f2e7b7fd8a5a0d5ca74ae84f2dece3580078895e2917f2b1cd39,82038.0,286665747,1510262776.97,225,1510261938
5a10f1697d28aa3521de9ddfe4834ba2c4a798ab561b4ebbb0809df6b53aee27,150800.0,118099089,1510265399.55,518,1510264897
1de9a89aa20e4eb90b3bdbc84a6dfa45cfba75e759d4bd0654a40530b69b287e,20566.0,96834,1510270136.43,192,1510265309
599195117a7c1e3070e2a914bca1f34cf09a67ee6503b53dcabf453c73381305,72909.0,103831642,1510264642.6,226,1510263552
8bd92106b83d19e8de46b123bce62ba03d0af5a3f981c65f64704c718a15e9a7,108785.0,6707807,1510264653.31,373,1510263522
edceec67516dc8b503a5d071c3bddc5f6c0f6672f30dee453140fe1a6c61a188,110330.0,47595579,1510264653.31,374,1510263401
95a4f8fd21ee37b5b22f6e1942cec0de38bdefe966aef865833c935e87693664,150189.0,24634799,1510264653.31,668,1510264484
2ee43b38f1a93ce18b1346001c940c55b551da296c059d7e2ec69d4c11132c5c,72909.0,1329854,1510265399.55,226,1510264885
ba3caa8168c1f6743747c409b26f3c6b53a3b1c911e4ebc49f1fb9a2ed551920,97240.0,1808949,1510267249.64,373,1510266822
c658404893404a7e713e94eb0c1972417bae080d5f94f8e8f309bbfd48c8c42b,41132.0,1098705,1510265586.75,189,1510265298
3ea128aa67d82dda0346f51e56a20602dfca68e9c5e24f83cd006b43ab0881d6,65736.0,3920464,1510262776.97,225,1510262317
ef798fb7cbc8b37179de7f6375cf08e3536552e32b2f2d641b3dab0901681ca7,45878.0,9813187,1510265883.38,225,1510262266
df2d7ed8ebbaf1c2f9e2ade56580bd3ae3d806a19c39fb5f051d129f198cf1e7,66976.0,5282642,1510261766.56,223,1510261517
9640f7ef9431982e2342d0a12bbff37d848cb73912cae2dbdd80092ba9bd6f7c,72909.0,142405,1510265399.55,225,1510265053
818305499efcd41145c1de1c3ebea5de4e1161261c83cc39623f831fbc2d57e1,198396.0,14498592,1510263058.57,666,1510262804
eaf7535a9dcb7f4ef8435b4622d8e1dc9a8e575f67ad949c9e1c4749163a900d,82324.0,29595274,1510265883.38,372,1510265711
4374c2646096142da2865bd7640a3f40fcba884b5ca72d30b697b51a6a7ef850,44748.0,200549,1510263058.57,223,1510262086
c61b7bbe2f7f6fec654b895e3eedd1eb729cf2868950bec5bb62aaca78e89cb0,42940.0,6078526,1510266190.01,226,1510262564
8854b95edfb3febc1c7da0d8130f2b0d0a339a92b913570dc96fbb1a68c81463,52056.0,200000,1510266490.02,206,1510266368
